id,titrFr,categorieFr,ref,niveau,prix,img,description
347,Expériences sur les solutions ioniques,Expériences de chimie,DB249,متوسط,3.800.00 Dzd,/media/produit/images/DB_249_copy.jpg,L''appareil est un circuit électrique équipé de couteaux installés différemment Pièces métalliques trempées dans des solutions ioniques à étudier Pour les solutions électrolytiques; l''appareil est relié à plusieurs types de pièces Barres métalliques (Cuivre; charbon en aluminium; zinc) Parmi les expériences qui peuvent être menées et proposées dans le livre École de quatrième année - La solution Alharda - électrolyse de solution aqueuse - En plus d''autres expériences que vous trouvez dans une instruction Utilisation fournie avec l''appareil
348,Indicateur du courant,Electronique et électricité,DB250,متوسط - ثانوي,2.800.00 Dzd,/media/produit/images/DB_250_copy.jpg,Cet appareil est utilisé pour détecter Courant électrique et reconnaître l''agitation Électromagnétique. Joignez une instruction d''utilisation. Peut être utilisé dans des expériences d''induction Pour la deuxième année secondaire
349,Les applications de la réflexion totale de la lumière (fibre optique),Electronique et électricité,DB251,ثانوي,1.700.00 Dzd,/media/produit/images/DB_251_copy.jpg,Cet appareil est utilisé pour illustrer le concept de réflexion totale de la lumière Et d’identifier l’une des applications les plus importantes (large bande de fibres optiques) Utilisation dans le domaine de la médecine et de la communication). Joindre une instruction d''utilisation détaillée
350,Générateur de courant alternatif à fréquence variable,Electronique et électricité,DB252,متوسط - ثانوي,4.300.00 Dzd,/media/produit/images/DB_252-1_copy.jpg,Parmi continuellement les plus importantes caractéristiques du courant AC changer le sens de l''écoulement et Par exemple; le courant alternatif périodique alternatif dans les maisons existantes pour compléter 50 cycles Au cours d''une seconde (fréquence = 50 Hz) seulement le rythme; étant donné qu''il est impossible Observé à l''œil nu si nous utilisons le redresseur v6 pour effectuer un effet d''expérience en courant alternatif Alternance sur la valve photovoltaïque Donc; accomplir ce dispositif montré dans l''image correspondante Ne pas utiliser spécialement dans cette expérience Il génère un courant alternatif avec la possibilité de changer sa fréquence de 1 Hz à 120 Hz Il permet une expérience claire de la façon dont l''allumage macroscopique remarquable et l''absence d''accords bilatéraux Continuellement et périodiquement alternativement (Lorsque vous ajustez le bouton dans la basse fréquence) sans avoir recours Utiliser un traceur de vibrations cathodique. Fixer le dispositif détaillé comment utiliser les siestes
351,Production du courant alternatif (l’aimant tourne),Electronique et électricité,DB253,متوسط - ثانوي,3.800.00 Dzd,/media/produit/images/DB_253_copy.jpg,L'appareil est associé à une instruction d'utilisation
352,Production du courant alternatif et continu (la bobine tourne),Electronique et électricité,DB254,متوسط - ثانوي,3.800.00 Dzd,/media/produit/images/DB_254_copy.jpg,L'appareil est associé à une instruction d'utilisation
353,Dynamo de bicyclette ( production du courant alternatif),Electronique et électricité,DB255,متوسط - ثانوي,2.100.00 Dzd,/media/produit/images/DB_255_copy.jpg,L'appareil est associé à une instruction d'utilisation
354,Protection par disjoncteur contre la surintensité,Electronique et électricité,DB256,متوسط,3.100.00 Dzd,/media/produit/images/DB_256_copy.jpg,Cette expérience est incluse dans le manuel pour la quatrième année Depuis leur réalisation en tension 220V est dangereux pour l''étudiant et l''enseignant Ensemble; cet appareil est conçu pour être alimenté avec une fermeture de tension alternée de 6V Il a trois prises électriques et trois articles ménagers Il représente une ampoule électrique; un fer à repasser; un radiateur électrique Lorsque l’élève connecte ces éléments aux prises les unes après les autres Vous remarquerez ce qu''il advient du massicot immédiatement après la connexion de l''élément. La troisième se termine Le rôle catégorique dans la protection. Joindre une instruction d''utilisation détaillée
355,Les dangers de toucher les poles d’une prise électrique,Electronique et électricité,DB257,متوسط,2.800.00 Dzd,/media/produit/images/DB_257_copy.jpg,Quand une personne reçoit un choc électrique au toucher Diverses prises d''électrodes? Êtes-vous blessé lorsque vous touchez la prise de terre et le neutre ensemble? Est-il infecté uniquement lorsque vous touchez la phase? ..... La réponse à ces questions (posées dans le manuel de l''année La quatrième moyenne est utilisée empiriquement directement par une prise électrique de 220 V Un danger inévitable pour l''élève qui a donc réalisé ce dispositif à utiliser Sans crainte d''aucun danger; répondre de manière empirique à toutes les situations tactiles qu''il nourrit Basse tension alternative v6 Alternante et fournie Avec des taquets pour accomplir diverses situations. Joignez une instruction pédagogique détaillée.
356,Montage d’un circuit simple ( LAMPE / INTERRUPTEUR ),Electronique et électricité,DB258,متوسط,2.800.00 Dzd,/media/produit/images/DB_258-1_copy.jpg,Avec cette installation; l''expérience peut être effectuée; où installer le cutter? (Expérience décrite dans le manuel pour la moyenne de la quatrième année) Par simulation pour éviter le danger Sa tension est atteinte; 220V où l’élève dirige un cutter Parfois; et parfois neutre en fonction de l''allumage de la lampe témoin Cela indique le danger lorsque toucher la gaine de la lampe en déduit la pupille Aucune forme n''est dangereuse pour l''homme. La composition se nourrit d''une masse de 4;5 Joindre une instruction d''utilisation détaillée
357,La sécurité électrique,Electronique et électricité,DB259,متوسط,6.000.00 Dzd,/media/produit/images/DB_259-1_B_copy.jpg,N Le sujet de la sécurité électrique traité dans le manuel de l''année La quatrième moyenne est un sujet important dans notre vie quotidienne de ce qui constitue l''électricité Les risques pour la vie humaine en cas de non-respect des règles de sécurité électrique. Cet appareil est spécialement conçu pour permettre à l’étudiant d’identifier les risques À propos de l’électricité et apprend à se protéger. Elle fournit à l’élève une réponse empirique Dans une pédagogie et une simulation détaillées Pour toutes les questions de cette rubrique; par exemple; quand être traumatisé Électrique? Quel est le rôle du cutter différentiel dans la protection? Quel est le rôle de la prise de terre? Quel est le défaut électrique qui peut se produire dans les machines avec des structures Est-il suffisant de ne protéger que le couteau ... etc Les avantages de cet appareil sont: - L''alimentation est une tension constante de 4;5 V; ce qui ne présente également aucun risque pour l''étudiant pendant les expériences. Même en cas d''erreur d''installation; il est équipé d''un support ... Cela augmente l''indépendance de l''appareil et facilite l''apport du professeur même en cours. (La possibilité de mener des expériences dans le département et pas seulement dans le laboratoire). - Ses dimensions sont judicieusement prises pour permettre l’apparition de schémas et diverses connexions Pendant l''expérience clairement pour tous les élèves du département. - La possibilité de placer l''appareil verticalement devant les élèves et c''est ce qui leur permet de suivre les expériences clairement. - La diversité des expériences à mener par l''étudiant lui permet de s''habituer et d''apprendre les connexions électriques à domicile. - Les expériences sont conduites selon une méthode pédagogique moderne préparée par des spécialistes et utilisant la méthode de simulation pour que l''étudiant apprenne Il s''adapte à cette méthode moderne efficace. - Sur le devant de l''appareil; on trouve des schémas de: compteur électrique; découpeuse différentielle; prise de courant; Machine à laver; ménagère; ces éléments ont été sélectionnés pour mettre des expériences dans une vie quotidienne pour être plus attentif Et l''intérêt pendant l''expérience et cela conforte sa compréhension du sujet de la sécurité électrique. - L’appareil est accompagné d’une instruction pédagogique détaillée contenant: Le document du professeur comprend des questions et des réponses accompagnées de schémas expérimentaux Atteignable; document de l''élève contenant uniquement des questions
358,La sécurité électrique avec disj différentiel,Electronique et électricité,259-1,متوسط,7.500.00 Dzd,/media/produit/images/DB_259-2_copy.jpg,Cet appareil est équipé d’un véritable disjoncteur différentiel (logé) alimenté en tension Basse tension de 6 volts ca Pour des raisons de sécurité; l’élève réalise différentes combinaisons Il reconnaît: - Règles de protection et sécurité électrique - Le rôle du cutter différentiel - Le rôle de la prise de terre - Tous les détails dans l''instruction
359,La sécurité électrique avec disj électronique,Electronique et électricité,DB259-2,متوسط,6.000.00 Dzd,/media/produit/images/DB_259-2_copy_aOEggki.jpg,L''appareil est équipé d''un cutter électronique. La nutrition est facile à fournir suffisamment Trois piles de 4;5 volts Personnes .. où l''allumage de la lampe de coupe indique son fonctionnement Quand une fuite de courant éteint la lampe Ce qui signifie que le cutter a coupé le courant pour ré-expérimenter ... isoler le défaut Et nous appuyons sur le bouton du cutter pour le redémarrer comme si en fait
360,La sécurité électrique essais virtuels,Electronique et électricité,DB259-3,متوسط,3.600.00 Dzd,/media/produit/images/DB_259-3_B_copy.jpg,Cette installation est utilisée pour mener les activités de l’ensemble du hub de sécurité électrique Comme indiqué dans le manuel de la quatrième année; l’élève moyen accomplit en utilisant Feutres pour différentes connexions pour apprendre les règles de sécurité Et la sécurité électrique prise pour protéger les personnes et les machines. - Tous les détails dans l''instruction
361,Le volcan dans tous ses états,Geologie,DB260,متوسط - ثانوي,3.600.00 Dzd,/media/produit/images/DB_260_copy.jpg,S''appuyant sur cet outil est facile à utiliser Le professeur évitera d''expliquer et d''interpréter l''activité volcanique Et ce qui se passe au fond du volcan et grâce à la transparence du navire L''élève peut voir tous les composants du volcan Et sa structure interne. Cela lui permet de reconnaître Sur le volcan dans toutes ses étapes et étapes. - Le modèle de gypse peut être retenu Utilisation pour une utilisation ultérieure dans l''explication. On peut trouver une explication détaillée de la façon dont les modèles peuvent être trouvés Dans les instructions d''utilisation jointes à cet appareil
362,Alimentation régulée 5V,Electronique et électricité,DB271,متوسط,2.600.00 Dzd,/media/produit/images/DB_271_copy.jpg,Spécialement créé pour être utilisé dans Alimentation de circuit logique.
363,Alimentation décomposée didactique,Electronique et électricité,DB272,متوسط - ثانوي,2.600.00 Dzd,/media/produit/images/DB_272_copy.jpg,L''élève reconnaît l''utilisation de cette nutrition Démonté sur comment devenir nerveux Continu basé sur tension alternative 220V Après plusieurs opérations: conversion Évaluation; anatomie; organisation. - attaché à des fils courts
364,Expérience de la fermentation d’une solution glucide,Expériences de chimie,DB273,متوسط - ثانوي,3.200.00 Dzd,/media/produit/images/DB_273_copy.jpg,Cette installation prête à l''emploi permet de réaliser l''expérience de fermentation dans Solution diabétique; la composition est également utilisée dans d''autres expériences Multiple en chimie et science à plusieurs niveaux Remarque: l''installation est livrée avec tubular (N)
365,Expérience sur les transformations de l’éthano,Expériences de chimie,DB274,متوسط - ثانوي,2.200.00 Dzd,/media/produit/images/DB_274_copy.jpg,La synthèse fonctionnera dans d''autres expériences en sciences et chimie Remarque permet une installation avec tubulaire (U)
366,Expérience sur les transformations chimiques L’acide acétique et la bicarbonate de sodium,Expériences de chimie,DB275,متوسط - ثانوي,3.700.00 Dzd,/media/produit/images/DB_275_copy.jpg,L''appareil est utilisé pour mener l''expérience mentionnée dans un livre La moyenne de la deuxième année utilise également la composition de Plusieurs autres expériences En science et chimie Note livre l''installation Avec tubulaire (N) Joindre une instruction d''utilisation Inclut diverses expériences possibles
367,Simulateur d’électronique numérique,Electronique et électricité,DB276,ثانوي,41.000.00 Dzd,/media/produit/images/DB_276_copy.jpg,L’appareil contient les éléments suivants : 1) dispositif d’entrée :suitchs pour introduction des valeurs 0 et 1 . 2) dispositif de sortie : 8 diodes electroluines- cents 3) generateur d’horloge. 4) les fonction logique :-4 portes xor ; 4 portes AND ; 4 portes NAND ; 4 portes OR ; NOR ; 6 portes NO 5) 4 bascules JK 6) registre à décalage. 7) compteur 8) multiplexeur 9) démultiplexeur 10) comparateur 11) additionneur 12) décodeur BCD7 segments 13( afficheur 7 segments L’appareil permet de réaliser toutes les expériences concernant toutes les programmes d’électronique numérique dans les techniques. c ‘est un outil indispensable et economique son avantage principale c’est qu’il est compact et moins encombrant . Il permet de vérifier les fonction on cite indentité et négation . - Les fonctions (et) et (non et). - (ou) et (ni) . - Ou exclusif . - Implication . Notons aussi qu’il permet l’utilisation des fonctions de base pour réaliser;entre auter : -Un semi additionneur . - Un soustracteur binaire . - Un comparateur . Il permet aussi de construire des composants dynamiques comme : -Bascule RS et RST . -Bascule D . -Bascule JK . Il permet également d’ utiliser les composants dynamiques comme : -Diviseur de fréquences : -Comptage binaire asynchrone : -Registre à décalage Il permet enfin d’utiliser des circuits intégés spécifiques comme: - Compteur BCD . - Décodeur BCD 7 segments . - Comparateur 4 bits . - Additiooeur complet . - Multiplexeur . - D emultiplexeur . - Registre à décalage . Remarques : 1- Un livret pédagogique et scientifique est livré avec le simulateur . il détaille les expériences que le simulateur vous permet de réaliser ; en outre il contient des informations pédagogiques et scientifiques rédigées par des spécialistes . 2- L’appareil est livré avec 20 cordon de raccordement diamètre 2 mm. DB 27
368,Le fumeur mécanique,Sciences de la nature et de la vie,DB277,متوسط - ثانوي,4.990.00 Dzd,/media/produit/images/DB_277_copy.jpg,Fumer est un fléau dévastateur pour la santé humaine et le fumeur ne se blesse pas C''est aussi un danger pour l''océan car il nuit à la santé de ceux qui l''entourent; alors j''ai émis De nombreux pays ont des lois interdisant de fumer dans les lieux publics fermés. Le dispositif proposé ici est un fumeur automatique qui permet aux élèves de continuer à fumer Dirigez et observez comment les substances toxiques de la cigarette accumulent les membranes pulmonaires fumées au Li: Dimensions: 60x 30 cm
369,Aquarium,Sciences de la nature et de la vie,DB278,متوسط - ثانوي,3.990.00 Dzd,/media/produit/images/DB_278_copy.jpg,Conçu spécifiquement pour un usage pédagogique; pris en compte dans sa conception spéciale La sécurité des élèves est à la base du matériel ABC et de ses surfaces Profil de plexiglas (plastique); Soutenu par deux bords inférieurs et une tige en métal
370,Structure de l’atome,Electronique et électricité,DB279,متوسط - ثانوي,2.400.00 Dzd,/media/produit/images/DB_279_copy.jpg,Il est difficile d’aborder la structure de l’atome et les règles qui régissent la distribution Les électrons sur leurs orbites et la relation entre le nombre d''électrons et de protons Ainsi que le concept de vagabond Et l''électrification ... surtout pour les élèves moyens; les moyens proposés Ici vous avez une bonne idée pour expliquer tous ces sujets; caractéristique caractéristique Pour cette méthode; il représente un modèle amplifié d''un atome dont les électrons peuvent être changés Et des protons comme on les aime en un temps record et devant les yeux des disciples
371,Etalonnage d’un Ressort-centre de gravité,Physique,DB280,متوسط - ثانوي,3.200.00 Dzd,/media/produit/images/DB_280A_copy.jpg,L''appareil est utilisé pour réaliser deux expériences d''étalonnage pulsé (Image B) et expérience de la détermination du centre de gravité du corps (Fig. A) L''appareil fournit trois ressorts différents pour l''étalonnage Et trois formes géométriques métalliques pour des expériences de centre de gravité
372,Table pour l’étude des forces,Physique,DB281,متوسط - ثانوي,7.990.00 Dzd,/media/produit/images/DB_281_copy.jpg,Table en plastique incluse; sous la forme d''une tablette à trois Pieds amovibles pour faciliter l''emballage et le transport. Equipé de trois bras métalliques mobiles transportant Chacun est très sensible. Utiliser l''appareil:   - Explication et explication; représentant les forces irradiées (quatrième année)   - 2 Appliqué obtenu le résultat de deux forces   - 3 conditions d''équilibre etc.
373,MACHINE DE MORIN,Physique,DB284,متوسط - ثانوي,0.00 Dzd,/media/produit/images/DB_284-1_copy.jpg,Cette machine a été inventée au 19ème siècle par le général français Moran pour étudier le mouvement de chute libre d''un objet. Cette machine permettait de dessiner le diagramme du mouvement de chute libre d''un objet. Expériences suggérées:   - 1 En moyenne: utilisé pour donner un exemple de diagramme de mouvement d''objet (Moyenne de la deuxième année)   - 2 en secondaire: utilisé dans les travaux appliqués sur le mouvement de chute libre Pour le corps (sections finales) Remarque: Les instructions ci-jointes expliquent comment effectuer les expériences.
374,Tunoptique,Optiques,DB285,متوسط - ثانوي,7.400.00 Dzd,/media/produit/images/DB_285_copy.jpg,L''un des problèmes les plus graves auxquels un professeur de physique est confronté lorsqu''il est élevé Expériences de lumière: est-il nécessaire de créer une atmosphère sombre pour que les étudiants puissent Mais pas toujours disponible. Avec cet ensemble; nous offrons une solution radicale à ce problème Le groupe fournit un tunnel sombre pour mener ces expériences et permet ainsi De faire toutes les expériences dans la journée sans bloquer les stores; permettre Ce groupe mène un grand nombre d''expériences sur la lumière Inclus dans les nouveaux programmes d''enseignement intermédiaire et secondaire Composants du groupe:  300x130x120 cm: - Dimensions du tunnel de 1  - Une extrémité du tunnel est fermée par une plaque métallique avec un trou de 30 mm de diamètre. - Diamètre de trou 5; 1 mm - Diamètre de trois trous 5; 1; 8 et 12 mm. Une lettre de huit trous de 1;5 mm de diamètre. L''autre extrémité du tunnel est ouverte et permet d''accéder au suffixe; qui joue également le rôle de moniteur. Les suffixes sont: - Diamètre de la lentille du support 65 mm pour les sourcils - Diamètre de la lentille de 65 mm - Trou des sourcils 24 mm. - Sourcils 3 et 12 mm: Il fournit également une source de lumière de 220 volts. Une instruction pédagogique détaillée avec des formules sous forme de questions pour les étudiants est livrée avec le groupe Les réponses à ces questions sont adressées au professeur
375,Prévention et sécurité électrique,Electronique et électricité,DB286,متوسط,6.200.00 Dzd,/media/produit/images/DB_286_copy.jpg,L’électricité est l’une des sources d’énergie les plus importantes Cependant; en négligeant les besoins de sécurité Dans leur utilisation; la sécurité est une menace pour la vie et la propriété. Les nouveaux cours pour l''enseignement intermédiaire n''ont pas retardé cette matière S''ils ont ménagé beaucoup de place pour le sujet dans le but de sensibiliser l''élève Les risques de l’électricité et la nécessité de prendre des précautions appropriées pour traiter Avec l''électricité comme utilisation de la prise de terre et du séparateur ..... Ceci est un modèle pour connecter une maison à l''électricité Et utilisez un séparateur différentiel. Le dispositif consiste principalement en une entrée de transformateur électrique à 220 volts alternatifs (représentant une haute tension) et le dos de 9 volts alternatifs Représente le secteur électrique (basse tension). Le courant passe à travers un séparateur électronique différentiel qui coupe le courant à chaque fuite électrique. Prévention et sécurité électrique Prévention et sécurité électrique Troisième moyenne Rupture de stock Expériences: permet à l''appareil d''effectuer toutes les expériences pour le séparateur différentiel et la prise de terre. Documents fournis avec l''appareil:  - 1 document pédagogique recensant les causes et les risques d''accidents électriques; les moyens de prévention et les premiers secours nécessaires en cas d''accident électrique.  - 2 documents avec un ensemble de compositions sous forme de questions adressées au professeur.  - 3 document avec réponses aux questions adressées au professeur. Observation :  - 1 En cas de fuite électrique; le sectionneur coupe le circuit du circuit.  - 2 expériences sont nécessaires pour conduire 8 fils connectés (non livrés avec l''appareil); Vous pouvez commander la société Didaben Référence 107DB. Dimensions: 30;5x23x4 cm
376,Plis et failles,Geologie,DB287,متوسط,6.100.00 Dzd,/media/produit/images/DB_287_copy.jpg,Ce dispositif permet de le réaliser; en département ou en laboratoire et en quelques minutes sous les yeux des élèves Toutes les distorsions à la surface de la Terre sont associées à la convergence et à l’espacement Pour les plaques tectoniques. Parmi les expériences les plus importantes possibles:   - 1 Sur la convergence; la formation d''une chaîne de montagnes et les plis et fissures qui en découlent peuvent être suivis ...   Pour l’espacement; par exemple; une expérience de tranchée ou de rift continental peut être réalisée Remarque: Les instructions ci-jointes expliquent comment effectuer les expériences.
377,Diversité des failles,Geologie,DB288,متوسط,0.00 Dzd,/media/produit/images/DB_288_copy.jpg,Un moyen simple et expressif facilite la Le professeur a abordé la question des fautes (Évolution et diversité). L''appareil doit être accompagné d''une instruction d''utilisation détaillée
378,Accessoires pour expèrience « plis et failles »,Geologie,DB287-1,متوسط,1.700.00 Dzd,/media/produit/images/DB_287-1_copy_ytmANmx.jpg,L''ensemble se compose de quatre canettes Gypse de différentes couleurs; masque et gants. Le groupe est utilisé dans des expériences Relatif aux plis Et les fissures des moyens: voir par exemple Méthode DB 28
379,Oeil à cristallin variable,Optiques,DB289,متوسط - ثانوي,7.900.00 Dzd,/media/produit/images/DB_289-1_copy.jpg,Le modèle de l''oeil qui vous est flétri ici est très proche du vrai œil; car il courbe son objectif (Cristallisation des yeux) Variable comme dans le vrai œil; grandit à mesure que la perspective approche et devient plus petite Contrôle la courbure de la lentille avec une aiguille qui se remplit ou se vide La lentille avec de l''eau. Ce modèle vous permet de faire toutes les expériences sur le travail optique de l''oeil. Parmi ces expériences sont: - Poser une image en perspective sur la rétine. - Adapter l''oeil à la perspective après le corps. - Expliquez le défaut de myopie à l''œil et au traitement. - Expliquez le flou du flou oculaire et du traitement. - Expliquez le défaut de crack (presbytie) chez les personnes âgées et adresse. - Remarque: comment mener des expériences détaillées Dans les instructions d''utilisation ci-jointes.
380,Action réciproque entre deux systèmes mécaniques,Physique,DB290,متوسط,2.700.00 Dzd,/media/produit/images/DB_290-1_copy.jpg,Cet appareil est utilisé pour effectuer des expériences dans la carte d’essai du livre. Moyenne de l''année scolaire en quatrième année (expériences détaillées dans le manuel). Fournit avec un dispositif Rabia transparent et un ensemble de flexibilité de ressorts différents Joindre une instruction d''utilisation détaillée
381,Mesure de poids d’un système mécanique,Physique,DB291,متوسط,3.300.00 Dzd,/media/produit/images/DB_291_copy.jpg,Le dispositif consiste en un pied vertical de grande taille permettant Pour que tous les élèves lisent clairement les notes au cours de l''expérience. Les expériences possibles à réaliser avec ce dispositif sont décrites et expliquées en détail. Dans les activités et la carte de pilote du manuel pour la moyenne de la quatrième année L''appareil est accompagné d''une instruction d''utilisation détaillée
382,Les résultats de la combustion d’une cigarette,Sciences de la nature et de la vie,DB292,متوسط,3.700.00 Dzd,/media/produit/images/DB_292_copy.jpg,Cette composition est utilisée pour étudier le tabagisme de manière expérimentale en abordant les deux transformations chimiques Causé par l''allumage d''un tabac à cigarette (L''expérience est contenue dans la fiche expérimentale du manuel pour la moyenne de la troisième année). A travers cette expérience; l’étudiant peut observer le dépôt de goudron sur du coton (Qui se dépose réellement sur les poumons) et la détection du dioxyde de carbone (acide) Ensuite; expliquez les deux distinctions chimiquement distinctes entre la combustion et la dissociation thermique. Cette expérience peut également être considérée comme une opportunité où l’élève utilise la chimie au quotidien. C''est l''un des objectifs du nouveau système éducatif. Des explications plus théoriques et pratiques peuvent être trouvées Dans les instructions d''utilisation jointes à l''installation
383,Pile Leclanché,Electronique et électricité,DB293,ثانوي,1.600.00 Dzd,/media/produit/images/DB_293_copy.jpg,
384,Haut parleur sur un support,Electronique et électricité,DB294,متوسط - ثانوي,700.00 Dzd,/media/produit/images/DB_294_copy.jpg,
385,Oscillations libres :amorties et non amorties EXAO,Exao,DB296,متوسط - ثانوي,6.200.00 Dzd,/media/produit/images/DB_296_copy.jpg,De véritables expériences sur les vibrations libres peuvent être réalisées (Amorti et non amorti) en utilisant une technologie de l''information automatisée En éducation sans utiliser d''interface () interface Nous vous avons suggéré ce périphérique une installation simple avec l''ordinateur Permet le traitement direct de mesures réelles via un programme multimédia spécial Avec un diagramme de vibration de cathode de balayage à temps lent qui permet l’enregistrement de courbes Caractéristique du phénomène de vibrations libres même si le rôle est important (Quelque chose qu''un oscillateur de vibration normale ne peut pas faire) et dans les deux cas: Amorti et non amorti de cette manière scientifique L’utilisation d’un ordinateur en tant que graphique vibratoire avec mémoire L''appareil est livré avec une notice d''utilisation détaillée Décrivez l''expérience étape par étape et expliquez comment Utilisez le programme multimédia simple et facile Usage privé Remarque: Les avantages de l''utilisation de l''ordinateur dans l''expérience: - Possibilité de visualiser l''expérience en utilisant le spectacle de la date - Permet d''arrêter les vibrations au bon moment avec la possibilité de sauvegarder Ou imprimez les résultats (courbes) transmis aux élèves.
386,Oscillation libres d’un pendule simple et élastique ( EXAO),Exao,DB297,ثانوي,4.300.00 Dzd,/media/produit/images/DB_297-1_copy.jpg,Mesurer le rôle à l''aide d''un ordinateur vous permet de réaliser de véritables expériences À propos des vibrations libres des impulsions simples et flexibles employant Technologie de l''information dans l''éducation sans utilisation (INTERFACE) interface Et par le biais d''un programme spécial convivial. L''installation expérimentale proposée est très simple; permettant plusieurs réalisations Modes éducatifs en modifiant les facteurs de longueur 1 et de masse m à impulsions simples L''élasticité k et la masse m sont constantes aux impulsions flexibles. Le dispositif est livré avec plusieurs ressorts; blocs et instructions d’utilisation détaillées; décrivant L’expérience étape par étape montre comment utiliser le programme Médias pour cette étude. Remarque: Les avantages de l''utilisation de l''ordinateur dans l''expérience: - Possibilité de visualiser l''expérience en utilisant une émission de données - Laisser les vibrations s''arrêter au bon moment
387,Ensemble d’expériences 3am,Physique,DB298,ثانوي,40.000.00 Dzd,/media/produit/images/DB_298-1_copy.jpg,Cet ensemble a les caractéristiques suivantes: - Facile à utiliser - Expériences multiples - Facile à installer et à démonter - Equipé d''un enregistreur de temps avec une grande précision et sans frottement est un générateur d''étincelles - Grâce à ce groupe peut être réalisé plusieurs expériences sur différents types de mouvements; y compris: la chute libre : Laisse un objet tomber librement et laisse des traces de points de son passage (sans frottement) émettant Générateur d''étincelles à différentes fréquences (0;01 tha; 0;02 tha; 0;04 tha) à partir duquel l''équation peut être facilement obtenue Extraction temporelle et gravimétrique expérimentale Mouvement d''objet extrudé: Pour la première fois avec ce dispositif peuvent être menées des expériences pour extruder le corps à des angles différents; et le même La méthode de l''expérience précédente permet d''obtenir les équations de base du mouvement des missiles À savoir l''équation temporelle du mouvement et l''équation du trajet. L''enregistrement du mouvement de Nawas Gravity: Le dispositif permet également l’enregistrement du mouvement gravitationnel sur le papier où la courbe est obtenue. Gravité sinusoïdale et trouver le rôle et la capacité en suivant les mêmes étapes mentionnées précédemment. Comment utiliser l''appareil et les autres expériences que vous trouvez détaillées Dans les instructions d''utilisation fournies avec l''appareil.
388,Experiences Sur diffraction du laser,Optiques,DB299,ثانوي,3.700.00 Dzd,/media/produit/images/DB_299-1_copy.jpg,La diffraction est une propriété des ondes; quelle que soit leur nature Il permet l''interprétation de sa longueur d''onde et détermine la longueur d''onde de la lumière Nouveau dans la troisième année du secondaire; il a besoin de tous les soins dans son aspect expérimental Pour son importance dans l''explication des phénomènes de lumière. - vous proposer ce dispositif qui permet empiriquement à partir d''une seule incision ou perforation; Les fils minces peuvent également être utilisés comme barrières; de sorte que plusieurs expériences peuvent être effectuées avec un changement La forme de la barrière de diffraction et l''étude du point central latéral de la lumière de diffraction - Livrer l''appareil avec une instruction d''utilisation montrant le côté pratique Et un nouveau tutoriel pour ce sujet
389,Oscillation d’un système mécanique,Physique,DB300,ثانوي,4.000.00 Dzd,/media/produit/images/DB_300-1_copy.jpg,Le dispositif est simple et facile à utiliser selon le nouveau programme pour la troisième année secondaire * Dans le cas d’une phrase à corps pulsé; l’équation de mouvement différentielle n’est établie que pour Pulsé réalise la relation F = Kx et le sujet horizontalement * Le dispositif est constitué d''un bloc qui est serré avec un filetage qui l''empêche de tomber et est attaché aux deux extrémités Avec deux ressorts identiques permettant de mesurer le rôle de vibrations libres de petites capacités Et établissez l''équation différentielle du mouvement. L''appareil est livré avec une instruction technique et pédagogique Comment l''exploiter comme indiqué dans le programme Nouveau pour la troisième année secondaire
390,Etude de mouvement des projectiles,Physique,DB301,ثانوي,5.000.00 Dzd,/media/produit/images/DB_301_copy.jpg,Le professeur utilise cet appareil pour mener facilement une étude pilote sur le mouvement des missiles Et plus tôt pour vérifier les lois théoriques sur le sujet; Vous pouvez déplacer le plan horizontal pour tomber sur le tableau magnétique pour obtenir Sur plusieurs valeurs d''élévation «p» et enregistrement «i» par les effets de la chute comme le peut Modifiez l''éjaculation prématurée et notez comment modifier la plage. La machine est prête à l''emploi et ne nécessite aucun accessoire; à l''exception du papier millimétrique À un angle d''extrusion constant (ae = 0); il exploite l''intimité. L''appareil est livré avec une instruction technique et pédagogique détaillée
391,Boite d’inductances,Electronique et électricité,DB302,ثانوي,2.600.00 Dzd,/media/produit/images/DB_302_copy.jpg,Cette case comprend huit subjectivités avec des valeurs différentes Ils sont utilisés dans diverses installations de vibration électrique Récemment inclus dans le livre des sciences physiques Pour le troisième niveau secondaire
392,Courant électrique dans les solutions ioniques,Expériences de chimie,DB303,متوسط,8.300.00 Dzd,/media/produit/images/DB_303_copy.jpg,À l''aide de cet appareil; l''enseignant peut bien expliquer à l''élève comment Le flux d''électricité dans les solutions ioniques et également dans les métaux Dans un temps abrégé de manière amusante et intéressante enracinée dans l''esprit de l''étudiant Concepts théoriques qu''il a reçus pendant le cours sur ce sujet Lorsque l’élève est capable de connaître la différence fondamentale entre le cours actuel Dans la solution ionique résultant d’une double transition de cation positif Et négatif dans des directions opposées et courant électrique dans les métaux Ce qui est le résultat d''électrons libres se déplaçant dans une direction. Ainsi; dans le dispositif incarne les abats du sujet de l''électrolyse contenue Dans le manuel pour la moyenne de la quatrième année p. 110 Plus de détails et d''informations peuvent être trouvés Dans les instructions d''utilisation fournies avec l''appareil
